,label,Clean_tweet
2365,1,check post confess america controversi equal kaepernick nationalanthem
2391,1,stock sex site chick get fuck
2467,1,fox news anchor tell laurenduca astick thigh high bootsa rather polit
2475,1,hispan black asian non racist white minor serv militari power cnna
2522,1,hispan amp like stomp listen retweet boricua miamia
2537,1,much hatr xenophobia islamophobia antisemit war much let hope get le dd
2567,1,chick get fuck video big ass havin sex
2580,1,sea shepherd suppoer racist antirac seashepherd
2606,1,problem solv talk instead polit relationship newa
2608,1,even santa afraid obama amp soro group threaten public safeti amp propey
2629,1,allahsoil revolut occurredajust marx expect teambt teamsuperjuniora
2635,1,dictionari word anti black
2638,1,could x wud blackonblack ri antiblack dogwhistl blacklivesmatt hamzayusuf
2644,1,donkey zionazi proud murder real palestinian semit child call antisemt
2653,1,post flag logo call forc bake cake dancer elitist ass
2657,1,help person comment like obama line like duh mf knew vote
2683,1,trophi alway one educ womenwednesdaya
2695,1,dystopian tale radicali amp reveng preorder c pa
2701,1,fascism arriv nazi salut sharp suit altright richardspenc trumpism da
2715,1,lead violenc
2721,1,trump view women explain b michelleobama womensmarch women predatora
2750,1,happen far often
2784,1,happi newyear sameshitnewyear corrupt trump terrorattack fundament violenc isi crisi hatr murder terror
2796,1,educ public servant critic pa path forward true
2799,1,bigot person would tweet call name tell truth
2819,1,user suppo hrc fund saudi woman degrad pig suppo woman drive cover face
2829,1,holiday better ever marijuana unleash ibook
2839,1,might libtard libtard sjw liber polit
2844,1,multipl type racism america u america
2850,1,disgust racist thug look forward go back jail
2898,1,correct way written matter profess clearli still thing
2904,1,girl get fuck leg fuck
2913,1,folx number lie american mostli
2923,1,altright us amp insecur lure men whitesupremaci
2926,1,team new mc amp show phillysuppophilli amp combat
2929,1,democrat pay alway pay black inferior white white inferior everybodi
2963,1,far europ swing right nyt libcrib uniteblu fascism trump fear ignor hate
2968,1,whore ring fire misogyni
2993,1,aloha r oppo fascism warsforoil
2997,1,sea shepherd suppoer racist antirac seashepherd
3001,1,dear theresamay brexit amp lie remain never unit leaver shit christma ladi
3017,1,nyca assault womenonli forher newyear resolut womenissuesa self defen woman cour
3019,1,texa princip resign justicereform politician corrupt mean judg
3057,1,destruct socialist maddow
3059,1,bewar snowbal effect blackman pa
3080,1,might libtard libtard sjw liber polit
3083,1,chepstow gwent polic appeal follow alleg assault wale cymru
3100,1,holiday violent time iav begun question impoanc famili familycircu chria
3119,1,check mention org back april founder girl nyc happi new yeaa
3121,1,christian say racist enough protest denounc retweeta
3123,1,check flyer trump yay titti question bring pussi grab pussi bea
3134,1,might libtard libtard sjw liber polit
3138,1,might libtard libtard sjw liber polit
3141,1,deal rel remind clock tick might help childfreea
3146,1,need chang profil economicapahi hatespeech get servic poor
3167,1,user douchebag like dad asshol rapist pedophil evil satanist
3169,1,work idea creat substant argument make point rather call name
3210,1,r happi anoth year pass stop
3249,1,ultim joke earli wish tell also wish well dida
3257,1,sad much hatr toward jew eu amp xian rememb xian kenya nigeriaa
3288,1,feminismiscanc feminismisterror feminismmuktbharat malevot ignor
3296,1,lesson learn hate shoot messeng press aaaplay aa
3301,1,trump corruptgop histori era money powera
3303,1,hour walk nyc woman newyork women men bigot
3307,1,carlpalladino make comment michelleobama
3324,1,allahsoil market crash march greenspan cut interest rate even
3337,1,new video show guy sta abu humili muslim guya
3339,1,launch politicalmillenni januari stay tune date letstalkabout climatechang educationa
3346,1,find burka offen implic men control sight uncova
3348,1,typic could anymor look hate feed say notmypresidnet buta
3354,1,one mil american reject bigotri amp hatr fli flag half mast jan
3356,1,check post confess america controversi equal kaepernick nationalaa
3372,1,outrag un vote un vote isra jewish busi judea samaria blacklistina
3397,1,shut rat
3399,1,gop deplor seen mani conserv meme last year notfunni
3408,1,awar facebook legislatur
3415,1,user exemplifi swamp drain day dem taxpay thief islamicterrorist enablera
3417,1,might libtard libtard sjw liber polit
3428,1,alexpasc friend late daddi music teacher eu easteuropean
3456,1,falsenarr falseequav comment reflect ignor
3467,1,episod gun everyon podcast gun igmilitia pewpewlifea
3473,1,talk obama bigotri stay topic
3474,1,sea shepherd suppoer racist antirac seashepherd
3478,1,obama suppo commun islam anoth deadli ideolog bout race onli suppo nazi
3491,1,prison offic goad muslim inmat need restrain pa game
3506,1,speak scienc medicin ddd cc
3542,1,word love even vocabulari know mean notmypresid resist
3572,1,icymi whi complet washout anti racism chang antirac
3577,1,everyth next year neverump pussygrabberinchief idiocraci
3602,1,woman nude anal anal girl
3621,1,porn blue tube offic woman
3633,1,comment reflect total ignor absolut
3640,1,ladi said junior area amp ask leav someon complain bo defend
3656,1,gtfoh itz crackalog malign black woman abt rai son instead arrest white man choke
3663,1,fo woh texa polic chief offic act rude racist viral video
3669,1,allahsoil fear monger becom loudest voic know could happen
3680,1,new one either way men disgrac harass verbalassault
3687,1,polic check cash industri atlanta profil black men polic checkcash atlanta blackmen profil
3699,1,defend woman condescens although saw tweet belong kitchen
3714,1,stop chelski fan equal diver
3717,1,jeff session omit decad record ag confirm hear hide
3775,1,buffalo parent ralli remov trump alli carl paladino school board remarksa
3777,1,buffalo school board demand resign aa remark made obama pc carlpaladino newyork
3781,1,hey go done teacher make statement malvern arkansa
3787,1,nigelfarag mani year critic immigr effect societi shut bya
3806,1,want obama catch mad cow disea caught w herford dy trial buri cow pastur
3864,1,trump wall coal fire electr produc need dispo sulfur fli ash stockpil
3876,1,send trump inaugur join today
3880,1,sisterinlaw get frustrat woman encount idiot
3882,1,say love even mexican lmao
3920,1,mcconnel obstruct go way back discov obama black
3932,1,offic jew offici eye libtard mass
3936,1,latest scienc u use daili thank
3943,1,diisgust perk offer passeng race male crew member flt v arnt
3988,1,truth abt polic amp maga audiblechannel
4033,1,happi new year
4054,1,nicola sturgeon send christma messag surround white children brown kid nationalist nicola sa
4055,1,india willoughbya entitl social innat sick revoltingli entitl tw opia
4093,1,anyon claim trump ran whitesupremaci platform immedi becom fakenew amp lose credibilitya
4099,1,multipl type racism america u america
4107,1,may good intent say see color miss point cola
4108,1,wast time sdob plaster color profil blm bacon lettuc mater matter slice bread
4129,1,latest african american turmoil thank blm
4139,1,alt right promot new kind racist genet eugen
4140,1,word factori race denial prevent heal southafrica leadership transform inequ
4166,1,hispan amp feel like stomp listen retweet boricuaa
4167,1,chaplin dictat speech via theresist resist resist maga altright raa
4177,1,sikh templ vandali calgari wso condemn act
4186,1,excel idea dig deep amp hang em high treason aidingenemi fraud coverup benghazi extoion
4204,1,clear good reason hand key goon yet
4211,1,look like damn fool year usa openli oppo settlement bulid israel
4230,1,thank mr presid obama light reveal dark peopl usa stronger
4240,1,enough say notmypr wtf neverump unpresid bigot
4259,1,beara rapaci hunger oil also seal doom allahsoil teambtsa
4262,1,carl paladino say michel obama live gorilla resign resign stop
4303,1,user give white nationalist troll platform spread hate read buy booa
4305,1,black life matter blm except mine appar patienc watch way jo
4307,1,stupid alcohol wiunion hag stuff legend
4313,1,peopl protest trump republican trump fuher amp
4364,1,make fakequ great er via racialequ
4374,1,definit subtl count use english dictionari definit otherwi risk slander
4412,1,piec shit hrc email r noth compar u apolog spew pig
4435,1,hell juan decid kellyann rai kid work v year standa
4477,1,trump hook healand valid adulteri incest pedophilia bigotri hate deceit maga notmypresid
4512,1,video men womenmalayalam girl dread porn video
4525,1,crybulli snowflak wanna talk amp divers read brief honesti editor
4558,1,dear politician amp medium jind insid matter humanright amp safeti woman india
4574,1,day govern state counti etc ban smoke say ceain word cloth school
4584,1,allahsoil never equat cultur exclu geograph boundari
4594,1,whitenationalist leader reveal horrifi hope america
4605,1,win digniti chauvinist pig notmypresid fucktrump lostpopularvot americadoesntwanti bigot
4611,1,new york bistro face shock accus host hid minor cramp tabl aout sighta
4612,1,peopl would die scurvi first winter first nation shown cute
4616,1,chaplin dictat speech via theresist resist resist maga altright dt trump
4632,1,first offici codifi th centuri spain
4645,1,liber look mean know say cmon ps ia
4666,1,cuss amp call racist fb work attir thread yep comment dread wouldnt safe ceain job
4675,1,lass
4698,1,good job reduc talent perform physic asset misogynist douchewaffl
4700,1,preci deplor arm
4708,1,lgbti poc need speak rife within lgbti commun unacceptablea
4712,1,noth would danger give putinscho impress accept stoprac boycott
4717,1,luicalibr video close fiend dad die
4752,1,hard believ live world pa hillari thread trend toni hawk
4795,1,fuck xenophobia drink arabian spice coffe eat berberian spice food rainbow diver onlya
4796,1,thread fulli bomb racism effect weapon white supremaci test dia
4819,1,trump alli r unstopp obama via christmasev
4831,1,great aicl truth trc need comment back need indignen via
4855,1,black professor make assumpt entir race whilst speak entir race next week jew nazi
4877,1,one mil american reject bigotri amp hatr fli flag half mast jan
4879,1,research effect way fight requir white peopl call white altright
4914,1,error pa agre except perform thrown someth inconsequena
4935,1,decid becom feminist begin feminist read plz help find educ materi
4952,1,year white liber realiz unjust sexist america
4954,1,target littl muslim child mispronounc terrac hous amp treat like crimin
4982,1,wen south choo dark south heroin kajal tamanna ami wtf
5005,1,turn resign
5013,1,femin equal help everyon help men women hu everyon everywh
5019,1,bout spend new year eve play game lol
5037,1,famili horribl attack thegreenpalmcottag plettenburgbay westerncap thyini thiza want ta
5047,1,work trump good thing
5053,1,go ahead amp chang profil pic hepburn ambassador unicef amp ignor would havea
5067,1,truth malevot
5079,1,conserv white boy yea call punk boy like us like etc annoy
5086,1,workplac amp famili respon add pressur face unequ pay amp lack suppo
5088,1,stop perpetu fal racism leftist subver polit correct propaganda america racist wa
5091,1,trump lackey carl palladino th get mate betwn pig amp hyena amp iq slug apolog pig hyea
5102,1,think w share guarani aquif water w humili littl brother
5105,1,say asham thing done continu make shame remark woman hypocritea
5116,1,peruvian woman nd adult game
5124,1,comment reflect ignor
5128,1,think worst everyth hatr toward countri much bluelivesmatt
5151,1,keep mind total white dumb
5164,1,greek girl ana sex black girl porn
5169,1,allahsoil awe peoplea origin meant awe white landhold male
5171,1,manipur ndtv timenow samachar zeenew dordarshan genocid would reaction
5197,1,beyond upset one biggest fan whitepeopl hawaii jlaw disrespect
5200,1,ik right racist make meme amp swear proof happen fakenew fakenewsmedia
5240,1,reginald mcfadden face face interview returningcitizen commut would possiblea
5246,1,kevin macdonald ethnocentr normal ration race ethnocentr altright pegida
5259,1,read next american revolut race intersect languag polit educationa
5314,1,j c penney employ hold custom headlock wow havent respond corporateb boycottjcpenney
5331,1,peac fucku wonat better unless loudli fight corrupt xenophobia islamophobia homophobia resist
5342,1,trump alli made remark toward obama dec et
5356,1,even know anymor
5386,1,ball expo racist
5392,1,typic lie leftist slander grp christian dont kill christian
5424,1,paul beloy still issu vari level belgian footbal adamitv via
5431,1,ita offici hate breed hate prejud parent
5436,1,whole russia trump tiesto whiteamerica stupid reali young progress countri gop commun
5439,1,user tragic white american prompt mani vote candid slash owa
5443,1,societi overcom possibl end racism happen one person time spiritu
5445,1,atlanta mayor amp polic forc allow rule citi block road amp freeway w action
5449,1,might libtard libtard sjw liber polit
5492,1,allahsoil conflat islam extrem terror emirati worda
5494,1,latest knit clio daili thank twittea
5500,1,allahsoil lehman brother went belli septemb word islama
5510,1,trump campaign offici want michel obama alet loosea live african ape notmypresid
5527,1,open hvg fibromyalgia amp survivor year childrap one rapist still chief complaint
5567,1,ass hole u head big hole brain hea love truth kind peac compassa
5582,1,despi hatr racism cau mani black peopl ina
5593,1,black amp feel like stomp listen retweet tampa miamia
5621,1,suspect henrico vandal mother mi son racist
5637,1,mean cruel talkradio host like make imposs person color like feel american
5642,1,wait see u amp admin hang treason trump makeamericagreatagain
5644,1,problem
5669,1,everyday life white south african
5682,1,work attorney white offic shot philandocastil remov black judg presid trial hta
5685,1,trumpa odd nye tweet aenemiesa trump odd man economi hype self serv fool idiot
5699,1,thought factori bbc neutral right wing fascism polit media blm brexit trump leadership gt
5736,1,deep need know clinton r eat brown bread drinkdark milka
5784,1,black amp feel like stomp listen retweet tampa miamia
5816,1,evolut got seriou public relat problem even among well educ need de stigmat facta
5823,1,freak nasti rotten peopl whiteslav monster relea doma c nica whiteslaveri venezuela go pay let free
5830,1,hispan feel like stomp listen retweet boricuaa
5843,1,ur employ r go say merri christma white peopl plea teach say brown peopl tooa
5845,1,might libtard libtard sjw liber polit
5850,1,team new mc amp show phillysuppophilli amp combat
5851,1,also correct enemi alli rid join togeth common
5854,1,c white establish blk folx run around love promot great
5888,1,indianapoli colt black cheerlead hug boy use slur much class
5903,1,sea shepherd suppoer racist antirac seashepherd
5916,1,rupemurdoch empir grow mani peopl employ whoever pay bill master
5919,1,might libtard libtard sjw liber polit
5927,1,emoji inexist rever via user user
5941,1,woman need arrest prosecut encourag rape anoth race depoat
5950,1,man come last race declar winner putinscho putinspuppet retweeta
5954,1,french tri stone amp kill indian quebec crimin
5958,1,holiday fun social relev podcast celebr bewitch xma ep
5966,1,nazi swastika ebay trump donaldtrump republ whitepow
5971,1,idiot make blood boil pig liar
5977,1,pleas stop
6006,1,forbidden write black restaur bill ok wear shi say kill white dzang capetown
6015,1,movi mad indian challeng rewrit sexist bollywood song movi indian challeng rewrit
6021,1,trumpsamerica feel empowerd dd fowoh mother arrest via
6043,1,caturday truli stand equal none accept
6045,1,countdown till asshol gone obama moron creepi uncl joe bye bye scum ddd
6048,1,thank dead white dude europ nigga da list blm rapechucktodda
6058,1,like know buy pot local drug store marijuana unleash ibook
6064,1,man see wear manchest unit hoodi fan ye man sure even know one player
6067,1,liber belief pay inclu belief equal anywher traa
6074,1,never content sit back watch other right trampl upon right could next iqg
6102,1,alt right promot new kind genet mt
6103,1,peopl protest trump republican trump fuher amp
6110,1,allahsoil cold war also fought oil teambt teamsuperjunior
6164,1,bluelivesmatt woke manspread okay ifyourenotwhiteyourenotracist
6167,1,sea shepherd suppoer racist seashepherd antirac
6169,1,look repug gop pay bigot
6180,1,women facil program cool empow men facil program gay misogynist doublestana
6193,1,damn bold kentucki jcpenni mexican bitchesbelik
6207,1,next klan meet wife white amp proud amp love gift froma
6217,1,cleveland polic union overwhelmingli endor trump presid cleveland ohio cop white lt lt
6224,1,sum vote brexit littleengland syndrom sovereignti democraci
6240,1,mustread educ amp stereotyp
6246,1,bigot carl paladino alli wish obama dead mad cow disea trumpproofamerica
6261,1,sikh templ vandali calgari wso condemn act
6305,1,tell jefferi beauregard quit foolin around come pick hood amp sheet saturdaa
6323,1,wahhhh white ppl arent allow ddd fuck rich care
6332,1,plea forget use word bind men never ignor excu thata
6336,1,make sick ovr yr idol georg bailey uspoli choo potter greed li misogyni learn fail
6353,1,let bigot skate true record
6379,1,thought factori left right polaris trump uselect leadership polit brexit blm
6389,1,waiter ask want eat plate aswel
6392,1,climatechang denial fascism antiegalitarian narciss trump
6402,1,atk porn pic repres woman men alcohol ad
6447,1,miami offic fire target practic joke policebrut newswith
6486,1,vote anim trump america fat chick
6500,1,check flyer trump yay titti question bring pussi grab pussi bea
6518,1,user use phrase like sandnigg accept ya hm u isa
6537,1,know uskkk gb msm media amp le racist crazybengiefbp wog say nut
6574,1,team new mc amp show phillysuppophilli amp combat
6591,1,fantast video buzzfe hate men manhat
6599,1,make plea let know
6613,1,shot racism shot disparo trompa trumpa migitorio entretei
6620,1,hatecrim sikh commun calgari
6634,1,patriotwatch project auspol rwnj upf cult cultism project springst straya
6639,1,misogyni aliv well left never let tell
6648,1,ladi bc voic opinion scare speak mind wait amp againsta
6661,1,hispan feel like stomp listen retweet boricuaa
6672,1,v year mostli arrog abu discrimin amp even dutch dr leav die
6675,1,user end hope messag music industri via
6713,1,nigger pattismith book wtf reich
6723,1,iwantto work see name dismantl system whiteprivileg privileg whitea
6727,1,two bot one girl tcot p femin sjw sjwlogic
6741,1,scatter joy ac may bless amp keep shine upon graciou look kindli toward one anoth let u love aa
6756,1,deaf commun look rethinkdisciplin ableism audism stpp massincarc deafinprison decriminaliza
6794,1,liber belief pay inclu belief equal anywher traina
6797,1,year old man still young enough teach sexism say women help
6803,1,whine women much harder men cau
6808,1,carl palladino unfit buffalo school board resign
6810,1,council staff instruct anc go slow make da look bad expo week ago
6820,1,emma stone hollywood v given joke away male co star viaa
6826,1,comment reflect ignor c user
6836,1,clearli humour attempt liber medium undermin trump racebait work trump
6859,1,le jacobmarley potter seem end evil misogynist narrow hole win georg bailey epica
6882,1,nick cannon speak system via alllivesmatt unbornlivesmatt
6908,1,ever peotu complain abt defeat oppon amp pay well elect sa
6951,1,newyearsev factophobia ale peopl use follow word islamophobia femin culturalenrich
6993,1,carolin race bait gt lt hate trump wife
6996,1,congrat tucker came exactli childish paisanhack
6998,1,oppo neglig hatr injust climatecrim ecocid let trump know agenda
7003,1,ever met would drop po right stood noth crapsac
7021,1,jew plan work god without god matthew call immanuela whica
7043,1,jcpenni rant one one line said anyth silenc complic racism speak pea
7062,1,believ show blaze saddl tv lead actor black man
7063,1,mexican languag dude obviou back trump said love uneduc bigot trumpworld
7085,1,happi new year white peopl elect presid treat woman like crap biher disrespect kkk suppo white devil
7109,1,truth realiti
7113,1,believ keep like spokesperson loser compani
7131,1,white fragil ita hard talk white peopl
7145,1,deafen silenc anti racist activist regard porn hard comprehend htta
7156,1,tonight cologn proudli present gover polic media big stage go
7167,1,cambersand death blame victim cultur council pay lifeguard mayb wow
7172,1,marxist evil jew propoganda jew control medium never never cite non white groua
7177,1,allahsoil like religion islam strong unifi forc teambtsa
7187,1,mustread educ amp stereotyp
7194,1,ouuh fuck bustymilf
7215,1,might libtard libtard sjw liber polit
7227,1,combat violent extrem white nationalist came dinner
7243,1,pathet fallaci infantil case anyon wonder whether brain prooa
7261,1,michelleobama hate woman america today get fact straight oprah
7267,1,refer everyon el racist simpl r project intoler
7276,1,white peopl got noth nigga one sick horribl person sadli youa
7281,1,dear asshol plea go fuck
7283,1,propaganda palestin time video properli stab jew standwithisrael
7304,1,mizzou bodi cam reveal black student threaten white frat boy
7325,1,allahsoil vp got multi million dollar bonu averag american lost home
7379,1,german even fascist rape help
7383,1,year
7401,1,might libtard libtard sjw liber polit
7415,1,rohingya muslim tour offici dc myanmar user rula
7420,1,gonna suck one want anyth shitfest rapist trumpuniv
7428,1,pastor maiman respond zil bo liter made h kiss job goodbi shoua
7441,1,ask oh cour black peopl racist belief superior definit
7442,1,win douchelord year good work dickhol douchebag asshol yousuck mysoginist bigot fear
7449,1,allahsoil stone human differ graviti therea differ ema
7457,1,racial profil cologn disgust
7458,1,lock gate pamgelleheracist mmiw mmiwg
7464,1,engag white call nig subhuman
7495,1,black life matter also close affili suppo worker world pay communist orga
7511,1,fuck r full outrag
7537,1,blacklivesmatt aryanbrotherhood kkk whiterac alexjon jew gt
7556,1,blackpeopl beat whiteperson bp might make cou aliv serv life somehow vs
7579,1,realli love compani petou well done antisemit misogyni
7583,1,feel hate potu ever crookedtrump traitor notamericascho bigot
7592,1,twitter full vile altright homophob theistic troll man give juic fightlikeagirla
7631,1,critic threaten boycott simon amp schuster milo yiannopoulo book deal huffington post
7638,1,presid woodrowwilson held privat screen w griffith bih nation histori th
7640,1,allahsoil like religion islam strong unifi forc teambtsa
7663,1,stuakenyon cover reveal swiftli sharpen fang radicali amp reveng eevalancast
7668,1,note call wn oppo latest ad damn right get filth net race traitor
7696,1,nigger lifelesson white kid grow bloggersblast respect
7722,1,yoya market deme nm sell beer white said close hispan walk n sold
7725,1,black amp feel like stomp listen retweet tampa miamia
7735,1,latest liveleap bonu daili thank amandanun
7737,1,might libtard libtard sjw liber polit
7760,1,might libtard libtard sjw liber polit
7768,1,scar left u waim camp mt
7785,1,preorder live c p swiftli sharpen fang dystopian tale
7800,1,book endur convict fred korematsu amp quest justic humanright hta
7813,1,come fraud amp document liar lost base call nazi brownshi pivoa
7824,1,might libtard libtard sjw liber polit
